x_1,i_1
0.0,0.1
0.05,0.2
0.1,0.2
0.15000000000000002,0.2
0.2,0.3
0.25,0.1
0.30000000000000004,0.1
0.35000000000000003,0.1
0.4,0.2
0.45,0.2
0.5,0.2
0.55,0.3
0.6000000000000001,0.3
0.65,0.3
0.7000000000000001,0.3
0.75,0.4
0.8,0.4
0.9,0.3
1.0,0.2
1.1,0.2
1.2000000000000002,0.4
1.3,0.5
1.4000000000000001,0.6
1.5,0.8
1.6,1.0
1.7000000000000002,1.3
1.8,1.6
1.9000000000000001,1.5
2.0,1.7
2.1,1.6
2.2,1.5
2.3,1.2
2.4000000000000004,1.0
2.5,0.9
2.6,0.8
2.7,0.7
2.8,0.8
2.9000000000000004,0.9
3.0,1.2
3.1000000000000005,1.7
3.2,2.2
3.3,2.8
3.4000000000000004,3.3
3.5,3.7
3.6000000000000005,3.9
3.7,4.1
3.8,3.7
3.9000000000000004,3.0
4.0,2.7
4.1000000000000005,2.4
4.2,2.2
4.3,3.1
4.4,2.8
4.5,4.8
4.6000000000000005,6.9
4.7,8.0
4.8,9.0
4.9,9.2
5.0,9.7
5.1,9.6
5.2,9.6
5.3,7.9
5.4,8.4
5.5,5.3
5.6000000000000005,5.4
5.7,6.6
5.8,10.6
5.9,24.4
6.0,83.7
6.2,104.3
6.4,100.1
6.6,300.0
6.8,500.0
7.0,600.0
7.2,700.0
7.4,700.0
7.6,700.0
7.8,500.0
8.0,400.0
8.2,200.0
8.4,151.1
8.6,76.6
8.8,30.5
9.0,30.5
9.2,9.7
9.4,6.7
9.6,6.9
9.8,9.9
10.0,9.4
10.2,6.5
10.4,5.9
10.600000000000001,5.6
10.8,2.9
11.0,5.0
11.2,5.7
11.4,5.5
11.600000000000001,4.3
11.8,2.5
12.0,1.3
12.2,0.9
12.4,1.2
12.600000000000001,1.9
12.8,2.6
13.0,2.8
13.2,2.4
13.4,1.6
13.600000000000001,0.8
13.8,0.6
14.0,0.2
14.200000000000001,0.2
14.4,0.2
14.6,0.2
14.8,0.1
